"sku","title","weight","length","updated_at"
"00068","9kg Bath Bomb Kit | 6kg Bicarbonate of Soda + 3kg Citric Acid","9","0.26","2022-09-27 10:47:04"
"00069","10Kg Bicarbonate of Soda FoodGrade, Bath Bombs, Fizzers","10","0.45","2022-09-27 10:47:04"
"00070","1Kg Bicarbonate of Soda Finest Quality, Bath Bombs, Fizzers, Cleaning","1","0.26","2022-09-27 10:47:04"
"00071","25Kg Bicarbonate of Soda FoodGrade, Bath Bombs, Fizzers","25","1.31","2022-09-27 10:47:04"
"00072","2Kg Bicarbonate of Soda Finest Quality, Bath Bombs, Fizzers, Cleaning","2.1","0.3","2022-09-27 10:47:04"
"00073","Elixir Gardens 500g Bicarbonate of Soda High Grade, Bath Bombs, Fizzers x 4","2.1","0.3","2022-09-27 10:47:04"
"00074","5Kg Bicarbonate of Soda Finest Quality, Bath Bombs, Fizzers, Cleaning","5","0.4","2022-09-27 10:47:04"
"00075","Elixir Gardens Big Dripper Watering Kit Greenhouse Plant Irrigation for 6 Plants","0.404","0.26","2022-09-27 10:47:04"
"00076","2 x Big Dripper Watering Kit Greenhouse Plant Irrigation for 12 Plants","0.808","0.26","2022-09-27 10:47:04"
"00077","Parasene Big Red Paraffin Greenhouse, Garage, Shed &amp; Workshop Heater | 2.5Kw","4.5","0.26","2022-09-27 10:47:04"
"00078","19cm / 7.5&quot; Plastic Extra Strong Black Stick in Angle Head Labels x 10","0.14","0.26","2022-09-27 10:47:04"
"00079","Elixir Gardens ® 7.5&quot; Extra Strong Black Stick in Angle Head Labels x 50","0.7","0.26","2022-09-27 10:47:04"
"00080","Green Bird Netting | Fruit, Vegetable, Plant &amp; Pond Protection Net | 10m x 20m (Green)","6","0.26","2022-09-27 10:47:04"
"00081","Elixir Gardens ® Bird Netting 12mt x 10mts Garden/Vegetable Netting (Black)","3.6","0.4","2022-09-27 10:47:04"
"00082","Garden Bird Netting | 12m x 15m | Pond Garden Fruit Veg Bird Protection","5.4","0.4","2022-09-27 10:47:04"
"00083","Garden Bird Netting | 12m x 20m | Pond Garden Fruit Veg Bird Protection (Black)","7.2","0.26","2022-09-27 10:47:04"
"00084","Garden Bird Netting | 12m x 5m | Pond Garden Fruit Veg Bird Protection (Black)","1.8","0.23","2022-09-27 10:47:04"
"00085","Elixir Gardens ® Heavy weight - fruit cage/Bird Netting 20mt x 10mts","6","0.6","2022-09-27 10:47:04"
"00086","Garden Bird Netting | 20m x 15m | Pond Garden Fruit Veg Bird Protection (Black)","9","0.26","2022-09-27 10:47:04"
"00087","Garden Bird Netting | 20m x 20m | Pond Garden Fruit Veg Bird Protection (Black)","12","1.5","2022-09-27 10:47:04"
"00088","Black Heavy weight fruit cage / Bird Netting 20mt x 5mts","3","0.26","2022-09-27 10:47:04"
"00089","1m x 100m Black Polythene Sheeting Garden Cover 500g 125mu","12.315","0.5","2022-09-27 10:47:04"
"00090","Elixir Gardens ® BLACK POLYTHENE SHEETING PLASTIC COVERS 1m x 10m 500G","1.0625","0","2022-09-27 10:47:04"
"00091","1m x 200m Black Polythene Sheeting Garden Cover 500g 125mu","21.25","0","2022-09-27 10:47:04"
"00092","1m x 20m Black Polythene Sheeting Garden Cover 500g 125mu","2.464","0.26","2022-09-27 10:47:04"
"00093","Elixir Gardens ® BLACK POLYTHENE SHEETING PLASTIC COVERS 1m x 5m 500G","0.53125","0.26","2022-09-27 10:47:04"
"00094","2m x 100m Black Polythene Sheeting Garden Cover 500g 125mu","23.5","0.36","2022-09-27 10:47:04"
"00095","2m x 10m Black Polythene Sheeting Garden Cover 500g 125mu","2.35","0.36","2022-09-27 10:47:04"
"00096","2m x 20m Black Polythene Sheeting Garden Cover 500g 125mu","4.7","0","2022-09-27 10:47:04"
"00097","2m x 5m Black Polythene Sheeting Garden Cover 500g 125mu","1.175","0","2022-09-27 10:47:04"
"00098","Elixir Gardens Black Plastic Flower Plant Pot 1.5 Litre x 100","4","0.26","2022-09-27 10:47:04"
"00099","Elixir Gardens ® 10lt Strong Black Plastic Plant / Flower Pots x 100","22.2","1.5","2022-09-27 10:47:04"
"00100","Elixir Gardens Black Plant Pot Plastic Flower Pot 12 Litre","28.6","1.5","2022-09-27 10:47:04"
"00101","Elixir Gardens ® 13cm / 1 Litre Quality Thermoformed Plant Pot Black Plastic Plant Pots x 100","1.4","0.26","2022-09-27 10:47:04"
"00102","Elixir Gardens ® 1lt Strong Black Plastic Plant/Flower Pots x 100","3.5","0.26","2022-09-27 10:47:04"
"00103","Elixir Gardens Black Plant Pot Plastic Flower Pot 3 Litre","6.8","0.26","2022-09-27 10:47:04"
"00104","Elixir Gardens Black Plant Pot Plastic Flower Pot 4 Litre","6.8","0.26","2022-09-27 10:47:04"
"00105","Elixir Gardens Black Plastic Outdoor Plant Pot 1.5 Litre x 10","0.4","0.26","2022-09-27 10:47:04"
"00106","Elixir Gardens Black Plant Pot Plastic Flower Pot 10 Litre","2.3","0.36","2022-09-27 10:47:04"
"00107","Elixir Gardens Black Plant Pot Plastic Flower Pot 12 Litre","2.9","0.26","2022-09-27 10:47:04"
"00108","Elixir Gardens 10 x 13cm / 1 Litre Quality Thermoformed Seed Starting Seedling Plant Pot Black Plastic Plant Pots...","0.16","0.26","2022-09-27 10:47:04"
"00109","Elixir Gardens Black Plant Pot Plastic Flower Pot 15 Litre","3.2","0.26","2022-09-27 10:47:04"
"00110","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 1L x 10","0.35","0.26","2022-09-27 10:47:04"
"00111","Elixir Gardens Black Plant Pot Plastic Flower Pot 20 Litre","5.25","0.26","2022-09-27 10:47:04"
"00112","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 2L x 10","0.5","0.26","2022-09-27 10:47:04"
"00113","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 3L x 10","1.644","0.26","2022-09-27 10:47:04"
"00114","Elixir Gardens Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 4L x 10","0.7","0.26","2022-09-27 10:47:04"
"00115","Elixir Gardens Black Plant Pot Plastic Flower Pot 7.5 Litre","1.8","0.26","2022-09-27 10:47:04"
"00116","Professional Quality Thermoformed Black Plant Pots 13cm (1 Litre) x 10","0.22","0.26","2022-09-27 10:47:04"
"00117","Professional Quality 13cm 1 Litre Thermoformed Plastic Black Plant Pot x 200","2.75","0.79","2022-09-27 10:47:04"
"00118","Elixir 2lt Strong Black Plastic Plant / Flower Pots Bedding herbs shrub container x 200","9.5","0.26","2022-09-27 10:47:04"
"00119","Professional Quality 13cm 1 Litre Thermoformed Black Plastic Plant Pots x 20","0.3","0.26","2022-09-27 10:47:04"
"00120","Professional Quality 13cm 1 Litre Thermoformed Black Plastic Plant Pots x 250","3.4","0.26","2022-09-27 10:47:04"
"00121","Elixir Gardens Black Plastic Flower Plant Pot 1.5 Litre x 25","0.82","0.26","2022-09-27 10:47:04"
"00122","Elixir Gardens Black Plant Pot Plastic Flower Pot 10 Litre","5.6","0.26","2022-09-27 10:47:04"
"00123","Elixir Gardens Black Plant Pot Plastic Flower Pot 15 Litre","7.9","0.26","2022-09-27 10:47:04"
"00124","Elixir Gardens Black Plastic Flower Plant Pot 1 Litre x 25","0.875","0.26","2022-09-27 10:47:04"
"00125","25 x 20lt Strong Black Plastic Plant / Flower Pots ","13.125","1.5","2022-09-27 10:47:04"
"00126","Elixir Gardens Black Plant Pot Plastic Flower Pot 2 Litre","1.2","0.26","2022-09-27 10:47:04"
"00127","Elixir Gardens Black Plant Pot Plastic Flower Pot 3 Litre x25","1.7","0.26","2022-09-27 10:47:04"
"00128","Elixir Gardens Black Plant Pot Plastic Flower Pot 4 Litre","1.7","0.26","2022-09-27 10:47:04"
"00129","Elixir Gardens Black Plant Pot Plastic Flower Pot 7.5 Litre","4.3","0.26","2022-09-27 10:47:04"
"00130","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 1.5L x 500","19","0.26","2022-09-27 10:47:04"
"00131","Professional Quality 13cm 1 Litre Thermoformed Black Plastic Plant Pots x 500","6.8","0.26","2022-09-27 10:47:04"
"00132","Elixir Gardens ® 1lt Strong Black Plastic Plant Pot/Flower Pots x 500","17.5","0.26","2022-09-27 10:47:04"
"00133","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 1.5L x 50","2.1","0.26","2022-09-27 10:47:04"
"00134","Elixir Gardens Black Plant Pot Plastic Flower Pot 10 Litre","11.1","0.26","2022-09-27 10:47:04"
"00135","Elixir Gardens 13cm / 1 Litre Quality Thermoformed Seed Starting Seedling Plant Pot Black Plastic Plant Pots x 50...","0.7","0.26","2022-09-27 10:47:04"
"00136","Elixir Gardens Black Plant Pot Plastic Flower Pot 15 Litre","15.7","0.26","2022-09-27 10:47:04"
"00137","Elixir Gardens ® 1lt Strong Black Plastic Plant / Flower Pots x 50","1.75","0.26","2022-09-27 10:47:04"
"00138","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 1.5L","2.3","0.79","2022-09-27 10:47:04"
"00139","Elixir Gardens Black Plastic Outdoor Plant Pot 3 Litre x 50","3.4","0.26","2022-09-27 10:47:04"
"00140","Elixir Gardens Strong Round Black Plastic Garden Plant/Shrub/Flower Pots with Reinforced Rim 4L x 50","3.5","0.26","2022-09-27 10:47:04"
"00141","Elixir Gardens Black Plant Pot Plastic Flower Pot 7.5 Litre","8.5","0.26","2022-09-27 10:47:04"
"00142","Elixir Gardens Fish, Blood &amp; Bone Meal | Organic Fertiliser | 10kg Bag | Treats over 140sqm","10","0.26","2022-09-27 10:47:04"
"00143","Elixir Gardens Bumper Crop Blood Fish Bone Fertiliser | 1kg, Re-Sealable Tub | Treats over 14sqm","1","0.26","2022-09-27 10:47:04"
"00144","Elixir Gardens Fish, Blood &amp; Bone Meal | Organic Fertiliser | 2.5kg Bag | Treats over 35sqm","2.5","0.3","2022-09-27 10:47:04"
"00145","Elixir Gardens Fish Blood and Bone organic fertiliser 25Kg Bag | Treats over 350sqm","25","0.6","2022-09-27 10:47:04"
"00146","10 x 15&quot; Extra Strong Blue Stick in Angle Head Labels","0.22","0.26","2022-09-27 10:47:04"
"00147","1000 x 4&quot; BLUE  Stick in Plastic Plant Labels","1.1","0.26","2022-09-27 10:47:04"
"00148","Elixir Gardens ® 160mm BLUE Loop Lock Labels x 1000","1.7","0.26","2022-09-27 10:47:04"
"00149","10  X  LG BLUE THRIP / LEAF MINER STICKY TRAPS  DOUBLE SIDED","0.132","0","2022-09-27 10:47:04"
"00150","25 X 15cm 6&quot; BLUE T LABELS","0.08","0","2022-09-27 10:47:04"
"00151","50 X BLUE T LABELS","0.16","0","2022-09-27 10:47:04"
"00152","Elixir Gardens Bone Meal Organic Garden Fertiliser 10Kg","10","0.36","2022-09-27 10:47:04"
"00153","Bone Meal Organic Garden Fertiliser | NPK 3.5 - 18.5 - 8 | 1kg Bag","1","0.36","2022-09-27 10:47:04"
"00154","Elixir Gardens Bone Meal Organic Garden Fertiliser 2kg Bag","2.1","0.3","2022-09-27 10:47:04"
"00155","Bone Meal Organic Sterilised Garden Fertiliser | 25kg Bag | Treats over 180m²","25","1.21","2022-09-27 10:47:04"
"00156","Elixir Gardens Bottomless Black Plastic Plant Pots | Deep Root Tomato Ring Culture Planter | Black x 12","2.59","0.79","2022-09-27 10:47:04"
"00157","18 X RING CULTURE POTS / TOMATO POTS, BOTTOMLESS POTS","3.885","0.26","2022-09-27 10:47:04"
"00158","Elixir Gardens ® RING CULTURE POTS/TOMATO POTS, BOTTOM LESS POTS x 6","0.96","0.36","2022-09-27 10:47:04"
"00159","Elixir 2.5Kg B.T.D Fertilizer 6-8-10","2.53","0.26","2022-09-27 10:47:04"
"00160","Elixir Gardens ® 25Kg B.T.D Fertilizer 6-8-10","25.3","0.6","2022-09-27 10:47:04"
"00161","10mm Triple Laminated Greenhouse Bubble insulation, 1.5m x 10m UVI TREATED","1.16","1.31","2022-09-27 10:47:04"
"00162","Elixir Gardens 1.5m wide x 15mts, 25mm Triple laminated Greenhouse Bubble Insulation UV Resistant","1.74","1.31","2022-09-27 10:47:04"
"00163","Elixir Gardens 1.5m wide x 20 m Triple Laminated 10mm Greenhouse Bubble insulation UV Resistant","3.4","1.31","2022-09-27 10:47:04"
"00164","1.5m x 5m Triple Laminated Greenhouse insulation UV resistant | 10mm bubbles","0.58","1.31","2022-09-27 10:47:04"
"00165","Elixir Gardens 1.5m x 10m Greenhouse Bubble Insulation | Triple Laminated | UV Resistant | Large 25mm Bubbles","1.16","1.31","2022-09-27 10:47:04"
"00166","1.5m x 20m Greenhouse Bubble Insulation | Triple Laminated | Large 25mm Bubbles","2.32","1.8","2022-09-27 10:47:04"
"00167","Elixir Gardens 1.5m x 5m Greenhouse Bubble Insulation | Triple Laminated | UV Resistant | Large 25mm Bubbles","0.58","1.31","2022-09-27 10:47:04"
"00168","Elixir Gardens 1.5m x 3m Greenhouse Bubble Insulation | Triple Laminated | UV Resistant | Large 25mm Bubbles","0.348","0.36","2022-09-27 10:47:04"
"00169","Elixir Gardens 10Kg Bumper Crop Tomato Food 7.5-12-36 +TE+ Cao Fertilizer | Makes 10,000L of liquid feed","10.84","0.26","2022-09-27 10:47:04"
"00170","Elixir Gardens 3Kg Bumper Crop Tomato Food 7.5-12-36 +TE+ Cao Fertilizer | Makes 3000L of liquid feed","3.252","0.26","2022-09-27 10:47:04"
"00171","Elixir Gardens 5Kg Bumper Crop Tomato Food 7.5-12-36 +TE+ Cao Fertilizer | Makes 5000L of liquid feed","5.42","0.26","2022-09-27 10:47:04"
"00172","4m x 15m Anti Butterfly Bird Protection Netting","1.8","0.79","2022-09-27 10:47:04"
"00173","4m x 20m Anti Butterfly Bird Protection Netting","2.4","0.36","2022-09-27 10:47:04"
"00174","1kg Calcium Carbonate Powder  garden, poultry feeder","1","0.26","2022-09-27 10:47:04"
"00175","Elixir Gardens Calcium Carbonate powder Limestone | Garden, Poultry | 100g - 25kg","0.5","0","2022-09-27 10:47:04"
"00176","25kg Calcium Carbonate Powder lime stone garden poultry","25","0.6","2022-09-27 10:47:04"
"00177","Elixir 1Kg Calcium Nitrate Fertilizer / Plant Food","1","0.26","2022-09-27 10:47:04"
"00178","Elixir 2.5Kg Calcium Nitrate Fertilizer / Plant Food","2.5","0.26","2022-09-27 10:47:04"
"00179","Calcium Sulphate / Gypsum Fertiliser | Natural Clay Soil Improver | 500g Bag","0.5","0","2022-09-27 10:47:04"
"00180","Elixir Gardens Calcified Seaweed Organic Kelp Coral Fertiliser &amp; Soil Conditioner 10kg | Treatment for over 130sqm","10","0.45","2022-09-27 10:47:04"
"00181","Calcified Seaweed 1kg Bag | Organic Kelp / Coral Fertiliser &amp; Soil Conditioner","1","0.26","2022-09-27 10:47:04"
"00182","Calcified Seaweed 2.5kg Bag | Organic Kelp / Coral Fertiliser &amp; Soil Conditioner","2.5","0.26","2022-09-27 10:47:04"
"00183","Calcified Seaweed Fertiliser | Organic Soil Conditioner | 25kg Bag - Cover up to 300m²","25","0.6","2022-09-27 10:47:04"
"00184","Elixir Gardens Strong Bamboo Garden Canes 3ft x 100","6","0.91","2022-09-27 10:47:04"
"00185","Elixir Gardens 4ft Strong Bamboo Garden Canes x 100","6","0.36","2022-09-27 10:47:04"
"00186","5ft Good Quality Strong Bamboo Garden Canes Pack of 100","11","1.82","2022-09-27 10:47:04"
"00187","Elixir Gardens ® 6ft Strong Bamboo Garden Canes x 100","9.475","1.82","2022-09-27 10:47:04"
"00188","7ft Good Quality Strong Bamboo Garden Canes Pack of 100","20","2.13","2022-09-27 10:47:04"
"00189","Elixir Gardens ® 8ft Strong Bamboo Garden Canes x 100","20","2.4","2022-09-27 10:47:04"
"00190","4ft Good Quality Strong Bamboo Garden Canes Pack of 125","7.5","0.36","2022-09-27 10:47:04"
"00191","6ft Good Quality Strong Bamboo Garden Canes Pack of 125","11.37","1.83","2022-09-27 10:47:04"
"00192","7ft Good Quality Strong Bamboo Garden Canes Pack of 125","25","2.13","2022-09-27 10:47:04"
"00193","8ft Good Quality Strong Bamboo Garden Canes Pack of 125","25","2.4","2022-09-27 10:47:04"
"00194","150 x 3ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","9","0.91","2022-09-27 10:47:04"
"00195","150 x 4ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","9","0.36","2022-09-27 10:47:04"
"00196","150 x 5ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","16.5","1.82","2022-09-27 10:47:04"
"00197","150 x 6ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","14.25","1.84","2022-09-27 10:47:04"
"00198","Elixir Gardens 3ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes x 200","12","0.91","2022-09-27 10:47:04"
"00199","200 x 4ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","12","0.36","2022-09-27 10:47:04"
"00200","Strong Good Quality Bamboo Garden Canes 3ft Pack of 250","11.75","0.91","2022-09-27 10:47:04"
"00201","4ft Good Quality Strong Bamboo Garden Canes Pack of 250","15","0.36","2022-09-27 10:47:04"
"00202","Elixir Gardens 4ft Strong Bamboo Garden Canes x 50","3","0.36","2022-09-27 10:47:04"
"00203","Elixir Gardens 5ft Strong Bamboo Garden Canes x 50","3","1.82","2022-09-27 10:47:04"
"00204","Elixir Gardens ® 6ft Strong Bamboo Garden Canes x 50","4.73","1.85","2022-09-27 10:47:04"
"00205","Elixir Gardens ® 7ft Strong Bamboo Garden Canes x 50","10","2.13","2022-09-27 10:47:04"
"00206","8ft Good Quality Strong Bamboo Garden Canes Pack of 50","10","2.4","2022-09-27 10:47:04"
"00207","5ft Good Quality Strong Bamboo Garden Canes Pack of 125","13.75","1.82","2022-09-27 10:47:04"
"00208","200 x 5ft Extra Strong Heavy Duty Professional Bamboo Plant Support Garden Canes","22","1.82","2022-09-27 10:47:04"
"00209","Elixir Gardens Capillary Matting Seed Tray Irrigation Fabric","1.72","0.36","2022-09-27 10:47:04"
"00210","Elixir Gardens Capillary Matting Seed Tray Irrigation Fabric","0.32","0.26","2022-09-27 10:47:04"
"00211","Elixir Gardens 0.8m x 4m Capillary Matting Seed Tray Irrigation","1.16","0.36","2022-09-27 10:47:04"
"00212","Elixir Gardens Capillary Matting Seed Tray Irrigation Fabric","2.64","0.3","2022-09-27 10:47:04"
"00213","1m x 10m Capillary Matting Moisture System","0.4","0.26","2022-09-27 10:47:04"
"00214","1m x 2m Capillary Matting Moisture System","1.48","0.36","2022-09-27 10:47:04"
"00215","Elixir Gardens 1m x 3m Capillary Matting Seed Tray Irrigation","2.2","0.3","2022-09-27 10:47:04"
"00216","1m x 50m Capillary Matting Moisture System","3.28","0.36","2022-09-27 10:47:04"
"00217","1m x 5m Capillary Matting Moisture System","9.01","0.36","2022-09-27 10:47:04"
"00218","Elixir Gardens Capillary Matting Seed Tray Irrigation Fabric","0.56","0.26","2022-09-27 10:47:04"
"00219","80cm x 10m Capillary Matting Moisture System","1.08","0.36","2022-09-27 10:47:04"
